"100 Mph","#c93f38","100 mph"
"Always Almond","#ebe5d2","always almond"
"Always Apple","#a0a667","always apple"
"Always Blue","#a2bacb","always blue"
"Always Green Grass","#11aa00","always green grass"
"Always Indigo","#66778c","always indigo"
"Always Neutral","#dfd7cb","always neutral"
"Always Rosey","#e79db3","always rosey"
"Alyssa","#f4e2d6","alyssa"
"Alyssum","#f2d5d7","alyssum"
"Amalfi Coast","#297cbf","amalfi coast"
"Amalfi","#016e85","amalfi"
"Amalfitan Azure","#033b9a","amalfitan azure"
"Amaranth Blossom","#7b2331","amaranth blossom"
"Amaranth Deep Purple","#9f2b68","amaranth deep purple"
"Amaranth Pink","#f19cbb","amaranth pink"
"Amaranth Purple","#723f89","amaranth purple"
"Amaranth Red","#d3212d","amaranth red"
"Amaranth","#e86ead","amaranth"
"Amarantha Red","#cc3311","amarantha red"
"Amaranthine","#5f4053","amaranthine"
"Amaretto Sour","#c09856","amaretto sour"
"Amaretto","#ab6f60","amaretto"
"Amarillo Bebito","#fff1d4","amarillo bebito"
"Amarillo Yellow","#fbf1c3","amarillo yellow"
"Amarklor Violet","#551199","amarklor violet"
"Amaryllis","#b85045","amaryllis"
"Amaya","#f2c1cb","amaya"
"Amazing Amethyst","#806568","amazing amethyst"
"Amazing Boulder","#a9a797","amazing boulder"
"Amazing Grey","#beb5a9","amazing grey"
"Amazing Smoke","#6680bb","amazing smoke"
"Amazon Breeze","#ebebd6","amazon breeze"
"Amazon Depths","#505338","amazon depths"
"Amazon Foliage","#606553","amazon foliage"
"Amazon Green","#786a4a","amazon green"
"Amazon Jungle","#686747","amazon jungle"
"Amazon Mist","#ececdc","amazon mist"
"Amazon Moss","#7e8c7a","amazon moss"
"Amazon Parrot","#80e45f","amazon parrot"
"Amazon Queen","#948f54","amazon queen"
"Amazon River Dolphin","#e6b2b8","amazon river dolphin"
"Amazon River","#777462","amazon river"
"Amazon Stone","#7e7873","amazon stone"
"Amazon Vine","#abaa97","amazon vine"
"Amazon","#387b54","amazon"
"Amazonian Orchid","#a7819d","amazonian orchid"
"Amazonian","#aa6644","amazonian"
"Amazonite","#00c4b0","amazonite"
"Ambassador Blue","#0d2f5a","ambassador blue"
"Amber Autumn","#c69c6a","amber autumn"
"Amber Brew","#d7a361","amber brew"
"Amber Brown","#b46a4d","amber brown"
"Amber Dawn","#f6bc77","amber dawn"
"Amber Essence","#ba843c","amber essence"
"Amber Glass","#c79958","amber glass"
"Amber Glow","#f29a39","amber glow"
"Amber Gold","#c19552","amber gold"
"Amber Green","#ac8a41","amber green"
"Amber Grey","#d0a592","amber grey"
"Amber Leaf","#ba9971","amber leaf"
"Amber Moon","#eed1a5","amber moon"
"Amber Romance","#b18140","amber romance"
"Amber Sun","#ff9988","amber sun"
"Amber Tide","#ffafa3","amber tide"
"Amber Wave","#d78b55","amber wave"
"Amber Yellow","#fab75a","amber yellow"
"Amber","#ffbf00","amber"
"Amberglow","#dc793e","amberglow"
"Amberized","#aa8559","amberized"
"Amberlight","#e2bea2","amberlight"
"Ambience White","#e7e7e6","ambience white"
"Ambient Glow","#f8ede0","ambient glow"
"Ambit","#97653f","ambit"
"Ambitious Amber","#f0cb97","ambitious amber"
"Ambitious Rose","#e9687e","ambitious rose"
"Ambrosia Coffee Cake","#eee9d3","ambrosia coffee cake"
"Ambrosia Ivory","#fff4eb","ambrosia ivory"
"Ambrosia Salad","#f4ded3","ambrosia salad"
"Ambrosia","#c6e1bc","ambrosia"
"Ambrosial Oceanside","#47ae9c","ambrosial oceanside"
"Ameixa","#6a5acd","ameixa"
"Amelia","#beccc2","amelia"
"American Anthem","#7595ab","american anthem"
"American Beauty","#a73340","american beauty"
"American Blue","#3b3b6d","american blue"
"American Bronze","#391802","american bronze"
"American Brown","#804040","american brown"
"American Gold","#d3af37","american gold"
"American Green","#34b334","american green"
"American Mahogany","#52352f","american mahogany"
"American Milking Devon","#63403a","american milking devon"
"American Orange","#ff8b00","american orange"
"American Pink","#ff9899","american pink"
"American Purple","#431c53","american purple"
"American Red","#b32134","american red"
"American River","#626e71","american river"
"American Roast","#995544","american roast"
"American Rose","#ff033e","american rose"
"American Silver","#cfcfcf","american silver"
"American Violet","#551b8c","american violet"
"American Yellow","#f2b400","american yellow"
"American Yorkshire","#efdcd4","american yorkshire"
"Americana","#0477b4","americana"
"Americano","#463732","americano"
"America’s Cup","#34546d","america’s cup"
"Amethyst Cream","#eceaec","amethyst cream"
"Amethyst Dark Violet","#4f3c52","amethyst dark violet"
"Amethyst Ganzstar","#8f00ff","amethyst ganzstar"
"Amethyst Gem","#776985","amethyst gem"
"Amethyst Grey Violet","#9c89a1","amethyst grey violet"
"Amethyst Grey","#9085c4","amethyst grey"
"Amethyst Haze","#a0a0aa","amethyst haze"
"Amethyst Ice","#d0c9c6","amethyst ice"
"Amethyst Light Violet","#cfc2d1","amethyst light violet"
"Amethyst Orchid","#926aa6","amethyst orchid"
"Amethyst Paint","#9c8aa4","amethyst paint"
"Amethyst Phlox","#9b91a1","amethyst phlox"
"Amethyst Purple","#562f7e","amethyst purple"
"Amethyst Show","#bd97cf","amethyst show"
"Amethyst Smoke","#95879c","amethyst smoke"
"Amethyst Tint","#cdc7d5","amethyst tint"
"Amethyst","#9966cc","amethyst"
"Ametrine Quartz","#ded1e0","ametrine quartz"
"Amfissa Olive","#783e48","amfissa olive"
"Amiable Orange","#df965b","amiable orange"
"Amish Bread","#e6ddbe","amish bread"
"Amish Green","#3a5f4e","amish green"
"Ammonite Fossil","#a58d6d","ammonite fossil"
"Amnesia Blue","#1560bd","amnesia blue"
"Amnesiac White","#f8fbeb","amnesiac white"
"Amok","#ddcc22","amok"
"Amor","#ee3377","amor"
