"light bright green","#53fe5c","light bright green"
"light brown","#ad8150","light brown"
"light burgundy","#a8415b","light burgundy"
"light cyan","#acfffc","light cyan"
"light eggplant","#894585","light eggplant"
"light forest green","#4f9153","light forest green"
"light gold","#fddc5c","light gold"
"light grass green","#9af764","light grass green"
"light green blue","#56fca2","light green blue"
"light green","#96f97b","light green"
"light greenish blue","#63f7b4","light greenish blue"
"light grey blue","#9dbcd4","light grey blue"
"light grey green","#b7e1a1","light grey green"
"light grey","#d8dcd6","light grey"
"light indigo","#6d5acf","light indigo"
"light khaki","#e6f2a2","light khaki"
"light lavendar","#efc0fe","light lavendar"
"light lavender","#dfc5fe","light lavender"
"light light blue","#cafffb","light light blue"
"light light green","#c8ffb0","light light green"
"light lilac","#edc8ff","light lilac"
"light lime green","#b9ff66","light lime green"
"light lime","#aefd6c","light lime"
"light magenta","#fa5ff7","light magenta"
"light maroon","#a24857","light maroon"
"light mauve","#c292a1","light mauve"
"light mint green","#a6fbb2","light mint green"
"light mint","#b6ffbb","light mint"
"light moss green","#a6c875","light moss green"
"light mustard","#f7d560","light mustard"
"light navy blue","#2e5a88","light navy blue"
"light navy","#155084","light navy"
"light neon green","#4efd54","light neon green"
"light olive green","#a4be5c","light olive green"
"light olive","#acbf69","light olive"
"light orange","#fdaa48","light orange"
"light pastel green","#b2fba5","light pastel green"
"light pea green","#c4fe82","light pea green"
"light peach","#ffd8b1","light peach"
"light periwinkle","#c1c6fc","light periwinkle"
"light pink","#ffd1df","light pink"
"light plum","#9d5783","light plum"
"light purple","#bf77f6","light purple"
"light red","#ff474c","light red"
"light rose","#ffc5cb","light rose"
"light royal blue","#3a2efe","light royal blue"
"light sage","#bcecac","light sage"
"light salmon","#fea993","light salmon"
"light sea green","#98f6b0","light sea green"
"light seafoam green","#a7ffb5","light seafoam green"
"light seafoam","#a0febf","light seafoam"
"light sky blue","#c6fcff","light sky blue"
"light tan","#fbeeac","light tan"
"light teal","#90e4c1","light teal"
"light turquoise","#7ef4cc","light turquoise"
"light urple","#b36ff6","light urple"
"light violet","#d6b4fc","light violet"
"light yellow green","#ccfd7f","light yellow green"
"light yellow","#fffe7a","light yellow"
"light yellowish green","#c2ff89","light yellowish green"
"lightblue","#7bc8f6","lightblue"
"lighter green","#75fd63","lighter green"
"lighter purple","#a55af4","lighter purple"
"lightgreen","#76ff7b","lightgreen"
"lightish blue","#3d7afd","lightish blue"
"lightish green","#61e160","lightish green"
"lightish purple","#a552e6","lightish purple"
"lightish red","#fe2f4a","lightish red"
"lilac","#cea2fd","lilac"
"liliac","#c48efd","liliac"
"lime green","#89fe05","lime green"
"lime yellow","#d0fe1d","lime yellow"
"lime","#aaff32","lime"
"lipstick red","#c0022f","lipstick red"
"lipstick","#d5174e","lipstick"
"macaroni and cheese","#efb435","macaroni and cheese"
"magenta","#c20078","magenta"
"mahogany","#4a0100","mahogany"
